id	familyName	givenName	birth_date	birth_place	death_date	death_place
http://ldf.fi/nbf/p1766		Alipi	1850-01-01	Rybinsk, Jaroslavin lääni	1901-08-17	Valamo
http://ldf.fi/nbf/p2387	von Essen	Siri	1850-01-01	Porvoon pitäjä	1912-01-01	Helsinki
http://ldf.fi/nbf/p30544	Henriksson	Karl Johan	1850-01-03	Turku	1888-07-09	Oravainen
http://ldf.fi/nbf/p30644	Holmberg	Gustaf Oskar	1850-01-09	Turku	1917-06-23	Ypäjä
http://ldf.fi/nbf/p5597	Suomalainen	Samuli	1850-02-08	Pietari	1907-05-04	Sortavala
http://ldf.fi/nbf/p30989	Kallio	Petter Anders	1850-02-12	Pietarsaari	1915-09-14	Helsinki
http://ldf.fi/nbf/p30867	Jaakkola	Matias Viktorinus	1850-02-25	Nakkila	1905-04-13	Mouhijärvi
http://ldf.fi/nbf/p1158	Castrén	Jonas	1850-02-25	Pyhäjärvi, Oulun lääni	1922-10-10	Hyvinkää
http://ldf.fi/nbf/p5960	Wegelius	Theodor	1850-03-07	Helsinki	1932-04-16	Helsinki
http://ldf.fi/nbf/p950	Gripenberg	Sebastian	1850-03-08	Kurkijoki	1925-01-01	Helsinki
http://ldf.fi/nbf/p2661	Renlund	Karl Herman	1850-03-19	Kokkola	1908-02-18	Helsinki
http://ldf.fi/nbf/p20023	Aurenius	August Wilhelm	1850-03-22		1903-01-01	Nikolsk-Ussuriski, Amurin kenraalikuvernementti, Venäjä
http://ldf.fi/nbf/p10258	Hosainoff	Wasili	1850-03-22	Salmi	1917-11-11	Pietari
http://ldf.fi/nbf/p30891	Johansson	Josua	1850-04-04	Vimpeli	1909-07-09	Juva
http://ldf.fi/nbf/p10204	Saastamoinen	Herman	1850-04-25	Pielavesi	1920-04-28	Kuopio
http://ldf.fi/nbf/p2626	Saastamoinen	Herman	1850-04-25	Pielavesi	1920-04-28	Kuopio
http://ldf.fi/nbf/p1867	Reuter	Odo Morannal	1850-04-28	Turku	1913-09-02	Turku
http://ldf.fi/nbf/p20409	Wirenius	Anders	1850-04-29	Pietari	1919-08-29	Hatsina, Pietarin kuvernementti, Venäjä
http://ldf.fi/nbf/p1179	Wirenius	Anders	1850-04-29	Pietari	1919-08-29	Hatshina
http://ldf.fi/nbf/p10185	Bergbom	Johan	1850-05-16	Oulu	1917-11-17	Helsingin maalaiskunta
http://ldf.fi/nbf/p2127	Werkko	Kaarle Juhana	1850-05-18	Helsinki	1926-01-09	Helsinki
http://ldf.fi/nbf/p10180	Gisiko	Mathias	1850-05-26	Raisio	1912-10-25	Sauvo
http://ldf.fi/nbf/p956	Lundahl	Amélie	1850-05-26	Oulu	1914-08-20	Helsingin maalaiskunta
http://ldf.fi/nbf/p20398	Weckman	Nils Henrik Agaton	1850-06-08	Mikkeli	1906-09-30	Savonlinna
http://ldf.fi/nbf/p20246	Nordmann	David Reinhold Waldemar	1850-06-19	Hamina	1914-11-19	Varsova, Veikselin kenraalikuvernementti, Venäjä
http://ldf.fi/nbf/p10234	Björklund	Alfred	1850-06-21	Kokkola	1922-06-03	Kokkola
http://ldf.fi/nbf/p5865	Wadén	Daniel Johannes	1850-06-27	Inkoo	1930-08-25	
http://ldf.fi/nbf/p31117	Kontio	Sakari	1850-06-28	Juva	1902-04-17	Jääski
http://ldf.fi/nbf/p30638	Hollming	Frans Victor	1850-08-11	Janakkala	1907-10-03	Mikkeli
http://ldf.fi/nbf/p1004	Tudeer	Oskar Emil	1850-08-30	Mikkeli	1930-09-24	Helsinki
http://ldf.fi/nbf/p30750	Häggström	Lorentz Wilhelm	1850-09-08	Maksamaa	1912-09-07	Pori
http://ldf.fi/nbf/p1414	Granö	Johannes	1850-09-25	Teerijärvi	1913-06-09	Omsk, Siperia
http://ldf.fi/nbf/p30238	Granö	Johannes	1850-09-25	Teerijärvi	1913-06-09	Omsk
http://ldf.fi/nbf/p30586	Hinkula	Matts	1850-09-29	Saloinen	1901-12-06	Kangasniemi
http://ldf.fi/nbf/p3139	af Forselles	Louise	1850-09-30	Pietari	1934-03-25	Kauniainen
http://ldf.fi/nbf/p3080	Hausen	Reinhold	1850-10-09	Sund	1942-01-08	Helsinki
http://ldf.fi/nbf/p1400	Bäck	Johannes	1850-10-30	Uudenkaarlepyyn maaseurakunta	1901-01-28	Tyrvää
http://ldf.fi/nbf/p30407	Hannula	Herman	1850-11-05	Kuolajärvi	1880-01-01	Kemi
http://ldf.fi/nbf/p10253	Gestrin	Leonard	1850-11-06	Mäntsälä	1929-12-01	Turku
http://ldf.fi/nbf/p1183	Achté	Emmy	1850-11-14	Oulu	1924-12-02	Helsinki
http://ldf.fi/nbf/p20066	Clayhills	Nikolai	1850-11-25	Pietari	1916-08-04	Rauhan parantola, Joutseno
http://ldf.fi/nbf/p10224	Lindeberg	Ture Waldemar	1850-12-06	Väderstad, Ruotsi	1932-02-17	Siuntio
http://ldf.fi/nbf/p1163	Granfelt	Mandi	1850-12-12	Koski, Hämeen lääni	1926-07-10	Helsinki
http://ldf.fi/nbf/p6451	Ekelund	Constance	1850-12-18	Helsinki	1889-04-25	Helsinki
http://ldf.fi/nbf/p30264	Gröndahl	Erik Johan	1850-12-29	Korppoo	1907-05-08	Masku
http://ldf.fi/nbf/p20300	Schulman	Carl Magnus Hugo	1850-12-31	Hamina	1919-02-16	Kauniainen
http://ldf.fi/nbf/p20074	Eck	Edvard	1851-01-01			
http://ldf.fi/nbf/p30865	Iwendorff	Adam Edvard	1851-01-02	Vesilahti	1939-06-05	Nokia
http://ldf.fi/nbf/p4853	Ojanen	Kaarle	1851-01-03	Punkalaidun	1927-11-07	Nummi
http://ldf.fi/nbf/p5741	Weurlander	Fridolf	1851-01-09	Kuopio	1900-05-27	Kuopio
http://ldf.fi/nbf/p30453	Heikel	Joel August	1851-03-03	Munsala	1918-02-17	Vaasa
http://ldf.fi/nbf/p5481	Sjöström	Elin	1851-03-19	Mikkeli	1936-05-18	
http://ldf.fi/nbf/p30060	Fontell	Johan Wilhelm	1851-03-23	Sund	1933-04-14	Maalahti
http://ldf.fi/nbf/p20450	von Minkwitz	Alexander Joakim	1851-04-04	Juustilan kartano, Viipurin pitäjä	1928-12-13	Helsinki
http://ldf.fi/nbf/p30907	Judén	Jebets Jesiel Judi	1851-04-06	Multia	1911-08-07	Koski (Turun lääni)
http://ldf.fi/nbf/p2058	Löfgren	Elisabeth	1851-04-06	Uskela	1931-02-05	Helsinki
http://ldf.fi/nbf/p1327	Heikel	Axel Olai	1851-04-28	Brändö	1924-09-06	Huopalahti
http://ldf.fi/nbf/p30298	Grönvall	Reinhold	1851-05-01	Pori	1916-03-03	Lavia
http://ldf.fi/nbf/p1420	Hedberg	Juuso	1851-05-11	Närpiö	1919-04-29	Turku
http://ldf.fi/nbf/p30441	Hedberg	Juuso	1851-05-11	Närpiö	1919-04-29	Turku
http://ldf.fi/nbf/p10276	Mattson	Robert	1851-05-16	Vårdö, Ahvenanmaa	1935-05-10	Helsinki
http://ldf.fi/nbf/p20276	Rehbinder	Robert Otto Nikolai	1851-05-20	Hämeenlinna	1913-06-24	Narva-Joesuu, Vironmaan kuvernementti, Venäjä
http://ldf.fi/nbf/p1200	Wahlberg	Karoliina	1851-05-21	Eurajoki	1912-05-31	Rauma
http://ldf.fi/nbf/p30411	Harald	Pekka	1851-05-28	Kuopio	1906-07-05	Sortavala
http://ldf.fi/nbf/p1851	Appelberg	Karl Adolf	1851-06-12	Perniö	1915-01-08	Helsinki
http://ldf.fi/nbf/p20101	Fabritius	Johannes Christian	1851-06-24	Viipuri	1914-06-17	Lontoo
http://ldf.fi/nbf/p10176	Schildt	Onni	1851-07-03	Jyväskylä	1913-04-23	Helsinki
http://ldf.fi/nbf/p5297	Schildt	Onni	1851-07-03	Jyväskylä	1913-04-23	Helsinki
http://ldf.fi/nbf/p3014	Wrede	Rabbe Axel	1851-07-16	Anjala	1938-02-16	Anjala
http://ldf.fi/nbf/p20124	Gadolin	Guido	1851-07-28	Dalkarbyn kartano, Pohja	1932-04-12	Helsinki
http://ldf.fi/nbf/p30434	Hedberg	Elias Fredrik	1851-07-31	Petolahti	1932-06-10	Parainen
http://ldf.fi/nbf/p1124	Hallberg	Mauritz	1851-08-02	Tukholma	1924-02-27	Helsinki
http://ldf.fi/nbf/p10244	Kärkkäinen	Lauri	1851-08-10	Kiuruvesi	1922-12-25	Iisalmi
http://ldf.fi/nbf/p3263	Castrén	Robert	1851-08-16	Helsinki	1883-08-30	Helsingin maalaiskunta
http://ldf.fi/nbf/p30488	Helander	Karl Julius Jonatan	1851-08-19	Taivassalo	1918-08-27	Korppoo
http://ldf.fi/nbf/p4754	Nybergh	August	1851-08-20	Heinola	1920-12-05	Helsinki
http://ldf.fi/nbf/p10226	Hallman	Birger	1851-08-28	Heinävesi	1936-12-26	Kuopio
http://ldf.fi/nbf/p3736	Hallman	Birger	1851-08-28	Heinävesi	1936-12-26	Kuopio
http://ldf.fi/nbf/p6014	Wrede	Otto	1851-09-02	Anjala	1936-02-15	Helsinki
http://ldf.fi/nbf/p20043	Borgenström	Knut Gustaf Nikolai	1851-09-06	Loppi	1918-10-15	Turku
http://ldf.fi/nbf/p10231	Pulkkinen	David	1851-09-12	Mikkelin pitäjä	1925-05-12	Mikkeli
http://ldf.fi/nbf/p1931	Homén	Ernst Alexander	1851-09-14	Pieksämäki	1926-12-12	Helsinki
http://ldf.fi/nbf/p2696	Åkerman	Emma	1851-10-09	Kuopio	1931-01-18	Taipalsaari
http://ldf.fi/nbf/p1902	Schvindt	Theodor	1851-10-13	Räisälä	1917-10-27	Helsinki
http://ldf.fi/nbf/p31016	Karsten	Karl Julius	1851-10-16	Siipyy	1938-07-30	Värtsilä
http://ldf.fi/nbf/p1366	Sohlberg	Gabriel Wilhelm	1851-10-30	Kisko	1913-05-02	Helsinki
http://ldf.fi/nbf/p1380	Hautamäki	Liisa	1851-10-31	Alahärmä	1927-03-29	Kauhava
http://ldf.fi/nbf/p1478	Wolff	Eugen	1851-11-02	Vaasa	1937-05-20	Viipuri
http://ldf.fi/nbf/p1881	Neovius	Edvard Rudolf	1851-11-14	Hamina	1917-09-27	Kööpenhamina
