name	sentence_id	paragraph_id	text_issue_date	text_publ_id
Hilma Teräsvuori Kaarlo Tikka	116023	14	01.01.1907	0355-2047
Heikki Kansanen	116026	17	01.01.1907	0355-2047
Siiri Rautajärvi Armas Roschier	116029	20	01.01.1907	0355-2047
Alma Sofia Pirinen	116050	35	01.01.1907	0355-2047
Antti Pirinen	116055	38	01.01.1907	0355-2047
Hugo Lindeberg	116074	51	01.01.1907	0355-2047
Artur Grönberg	116110	70	01.01.1907	0355-2047
Hjalmar Suominen	116182	124	01.01.1907	0355-2047
GRAND PRIX	116189	129	01.01.1907	0355-2047
Brynolf Roiha	116234	169	01.01.1907	0355-2047
Antti Huili	116236	171	01.01.1907	0355-2047
Brynolf Roiha	116237	172	01.01.1907	0355-2047
Antti Iloiit	116238	173	01.01.1907	0355-2047
Otto HyyrylätaeD	116261	189	01.01.1907	0355-2047
Jonas Castrenin	116273	4	01.01.1907	0355-2047
John Nordberg	116295	24	01.01.1907	0355-2047
Oscar Wilh	116331	54	01.01.1907	0355-2047
Otto L.	116339	54	01.01.1907	0355-2047
ARVI A. KARISTO	116370	73	01.01.1907	0355-2047
Einar Böök	116385	85	01.01.1907	0355-2047
Leo Eiirnrooth	116385	85	01.01.1907	0355-2047
Hannes Gehlutrd	116385	85	01.01.1907	0355-2047
Tekla Haiti	116390	85	01.01.1907	0355-2047
Santeri Ingman	116391	85	01.01.1907	0355-2047
Heikki RenvaU	116394	85	01.01.1907	0355-2047
Hugo Rautapää	116394	85	01.01.1907	0355-2047
Matti Seppälä	116394	85	01.01.1907	0355-2047
Onni Talas	116394	85	01.01.1907	0355-2047
Johannes Saadell	116467	147	01.01.1907	0355-2047
H. Stracd	116471	151	01.01.1907	0355-2047
Heikki Eloranta	116472	151	01.01.1907	0355-2047
SAKARI CASTREN	116530	188	01.01.1907	0355-2047
Aleksis Kivi	116623	69	01.01.1907	0355-2047
Arthur Sclinitzler	116633	75	01.01.1907	0355-2047
Aleksis Kivi	116642	81	01.01.1907	0355-2047
Eino Leino	116642	81	01.01.1907	0355-2047
Ä- Sitt	116690	123	01.01.1907	0355-2047
Leo Funtek	116691	123	01.01.1907	0355-2047
Oskar Merikanto	116694	125	01.01.1907	0355-2047
Eugene Ysaye	116701	131	01.01.1907	0355-2047
Charles I'rlian	116723	142	01.01.1907	0355-2047
Oskar Merikanto	116733	149	01.01.1907	0355-2047
Anna Aj	116753	158	01.01.1907	0355-2047
Erna Deutler	116782	181	01.01.1907	0355-2047
Ulsel Castren	116802	195	01.01.1907	0355-2047
Sakari Castren	116805	196	01.01.1907	0355-2047
Vilho Beliaheimo	116827	201	01.01.1907	0355-2047
JU H.	116847	208	01.01.1907	0355-2047
ANTTI SEPPÄNEN	116857	214	01.01.1907	0355-2047
Harald von Hellens	116859	216	01.01.1907	0355-2047
Knut Molin	116861	218	01.01.1907	0355-2047
KUNO ALFTHAN	116870	224	01.01.1907	0355-2047
Alfred Holmström	116872	225	01.01.1907	0355-2047
Turku Klllll	116874	226	01.01.1907	0355-2047
Karl Erikson	116878	226	01.01.1907	0355-2047
Fritz Wiik	116887	232	01.01.1907	0355-2047
JOHANNES BROFELDT	116888	233	01.01.1907	0355-2047
Julius Sarsteo	116907	240	01.01.1907	0355-2047
Ellen Ahlqvist	116913	244	01.01.1907	0355-2047
Karolina EskeMn	116944	246	01.01.1907	0355-2047
Artur Krook	116976	253	01.01.1907	0355-2047
Erik Krohn	117044	267	01.01.1907	0355-2047
T:rl V.	117044	267	01.01.1907	0355-2047
Naema Ericson	117048	267	01.01.1907	0355-2047
Pehr Hagll	117061	267	01.01.1907	0355-2047
Axel F.	117079	268	01.01.1907	0355-2047
Eero Kalske	117403	85	01.01.1907	0355-2047
August Q	117418	91	01.01.1907	0355-2047
Tapani Kär	117426	92	01.01.1907	0355-2047
G. Nyström	117457	108	01.01.1907	0355-2047
G. Idström	117478	4	01.01.1907	0355-2047
Lars SoncF	117478	4	01.01.1907	0355-2047
Nestori SSirto-	117480	5	01.01.1907	0355-2047
Einar Klemi	117480	5	01.01.1907	0355-2047
Leo Eyruroltiille	117524	18	01.01.1907	0355-2047
Juho Ihalainen	117586	50	01.01.1907	0355-2047
Asta Scbanborff	117643	78	01.01.1907	0355-2047
Leon Gestrin	117644	79	01.01.1907	0355-2047
Eli Malm	117649	82	01.01.1907	0355-2047
Ernst Röiinbäe	117653	84	01.01.1907	0355-2047
Gustaf Cygnaeus	117653	84	01.01.1907	0355-2047
John Hedberg	117654	84	01.01.1907	0355-2047
Joel Lehtonen	117680	97	01.01.1907	0355-2047
Selma Lagerlöfin	117683	97	01.01.1907	0355-2047
Eero Alpi	117683	97	01.01.1907	0355-2047
Eino Leino	117686	98	01.01.1907	0355-2047
Helmi Setälä	117701	109	01.01.1907	0355-2047
Anni Surma	117701	109	01.01.1907	0355-2047
Hugo Lilius	117717	123	01.01.1907	0355-2047
Sinn Leino	117730	133	01.01.1907	0355-2047
Leo Smitet	117745	141	01.01.1907	0355-2047
Maikki Järnefelt	117754	142	01.01.1907	0355-2047
Henri Moiir	117757	144	01.01.1907	0355-2047
Joseph John	117758	144	01.01.1907	0355-2047
Suljo Sägtfä	118000	82	01.01.1907	0355-2047
Uuno Satatcla	118003	83	01.01.1907	0355-2047
Matti Soinio	118010	87	01.01.1907	0355-2047
Henrit Jlumv	118043	91	01.01.1907	0355-2047
Fredrik Jänö	118093	112	01.01.1907	0355-2047
Alelsander Ärt	118113	119	01.01.1907	0355-2047
O. Sl	118122	121	01.01.1907	0355-2047
Bennt SBjötlenhcim	118128	123	01.01.1907	0355-2047
I. SI	118133	124	01.01.1907	0355-2047
Slndero Parthin	118133	124	01.01.1907	0355-2047
|Jtaße Sem|||	118156	129	01.01.1907	0355-2047
Jonas Piipponen	118176	130	01.01.1907	0355-2047
Isat Erifsson	118191	130	01.01.1907	0355-2047
Matti Granitini	118193	130	01.01.1907	0355-2047
Juho Mikkelän	118234	5	01.01.1907	0355-2047
Martta Suominen	118236	5	01.01.1907	0355-2047
Viktor Ekroos	118328	63	01.01.1907	0355-2047
Ernst Waldemar	118345	72	01.01.1907	0355-2047
Irene Kalliokoski	118348	72	01.01.1907	0355-2047
Emil Johansson	118351	73	01.01.1907	0355-2047
Aliina Kantonen	118352	73	01.01.1907	0355-2047
Yrjö Adolf Kemppainen	118352	73	01.01.1907	0355-2047
Aliina Lahtinen	118352	73	01.01.1907	0355-2047
Tyyne Johanna Hellsten	118353	73	01.01.1907	0355-2047
Aleksanteri Pirinen	118358	76	01.01.1907	0355-2047
Georg Estlander	118387	95	01.01.1907	0355-2047
Alexis Gripenberg	118393	100	01.01.1907	0355-2047
Georg Estlander	118394	100	01.01.1907	0355-2047
Alexis Sripenberg	118402	107	01.01.1907	0355-2047
Alexis Gripenberg	118408	112	01.01.1907	0355-2047
Alexis Griperberg	118414	114	01.01.1907	0355-2047
Alexis Grip-amberg	118422	120	01.01.1907	0355-2047
Georg Estlander	118423	120	01.01.1907	0355-2047
Emma Fred	118510	179	01.01.1907	0355-2047
Karolina Backa	118510	179	01.01.1907	0355-2047
Fredrik Evonen	118511	179	01.01.1907	0355-2047
August Malmberg	118511	179	01.01.1907	0355-2047
Ellen Selin	118512	179	01.01.1907	0355-2047
Anders Viktor Jansson	118518	182	01.01.1907	0355-2047
Juhan Hauvula	118534	196	01.01.1907	0355-2047
Amalia Hanvola	118534	196	01.01.1907	0355-2047
Edla Lindell	118536	197	01.01.1907	0355-2047
Hilda Kemi	118539	198	01.01.1907	0355-2047
Erika Sam Suutari	118540	199	01.01.1907	0355-2047
Kalle Kustaa Lehtonen	118540	199	01.01.1907	0355-2047
Erland Hasa	118541	200	01.01.1907	0355-2047
Frans Lönnblad	118542	201	01.01.1907	0355-2047
Kustaa VValve	118543	202	01.01.1907	0355-2047
Viktor Puranen	118544	202	01.01.1907	0355-2047
Josef Kostiainen	118545	203	01.01.1907	0355-2047
Viktor Ekroos	118554	211	01.01.1907	0355-2047
Teodor Kristian Hjelt	118559	215	01.01.1907	0355-2047
Karolina Amalia Hjelt	118559	215	01.01.1907	0355-2047
Karl Albert	118562	216	01.01.1907	0355-2047
Vilhelmiina Vikberg	118562	216	01.01.1907	0355-2047
Antti Lehikoinen	118564	217	01.01.1907	0355-2047
Selma Ma-	118564	217	01.01.1907	0355-2047
Bernhard Eliasson	118566	218	01.01.1907	0355-2047
Anna Paulina	118567	219	01.01.1907	0355-2047
Alma Laitinen	118567	219	01.01.1907	0355-2047
Hulda Palme	118567	219	01.01.1907	0355-2047
Katharina Hänninen	118570	221	01.01.1907	0355-2047
Oskar Kattainen	118571	221	01.01.1907	0355-2047
Anna Laakso	118573	221	01.01.1907	0355-2047
Immanuel Savonius	118577	223	01.01.1907	0355-2047
Serafia Kainul	118578	224	01.01.1907	0355-2047
Johan Alfred Josefsson	118581	227	01.01.1907	0355-2047
Oskar Virtanen	118582	228	01.01.1907	0355-2047
Adolf Alexander Johansson	118583	229	01.01.1907	0355-2047
Matilda Maria Johansson	118583	229	01.01.1907	0355-2047
Samuel Peppänen	118585	231	01.01.1907	0355-2047
August Edvard Vuori	118586	231	01.01.1907	0355-2047
Johanna Ahonen	118586	231	01.01.1907	0355-2047
Otto Markkula	118586	231	01.01.1907	0355-2047
Maria l.	118586	231	01.01.1907	0355-2047
Klas Henrik	118586	231	01.01.1907	0355-2047
Konstantin Hurme	118586	231	01.01.1907	0355-2047
Karl August Lindström	118586	231	01.01.1907	0355-2047
VIKTOR FOFSELföS	118641	13	01.01.1907	0355-2047
Anna Parviainen	118770	101	01.01.1907	0355-2047
Antti Jukola	118850	147	01.01.1907	0355-2047
Klas Ahlbom	118933	198	01.01.1907	0355-2047
Kalle Pirinen	118970	10	03.01.1907	0355-2047
Katri Taskinen	118971	11	03.01.1907	0355-2047
Ester Aarnio	118977	17	03.01.1907	0355-2047
Tauno Seppänen	118983	22	03.01.1907	0355-2047
Impi Fiinkman	118993	29	03.01.1907	0355-2047
Evert Korttio	118994	29	03.01.1907	0355-2047
Aino Helena	118997	32	03.01.1907	0355-2047
Hedvig Victor	119043	70	03.01.1907	0355-2047
Linda Relander	119195	180	03.01.1907	0355-2047
Walentin Relander	119195	180	03.01.1907	0355-2047
Otto Hyyry	119219	196	03.01.1907	0355-2047
Hjalmar Suoda	119224	199	03.01.1907	0355-2047
Don Karies	119294	40	03.01.1907	0355-2047
SAKARi CASTREN	119349	72	03.01.1907	0355-2047
Erna Deutler	119504	178	03.01.1907	0355-2047
Sakari Oa-itrén	119535	203	03.01.1907	0355-2047
J. KOCKIN	119674	264	03.01.1907	0355-2047
Samu Sricsan	119712	8	03.01.1907	0355-2047
Gösta Enckell	119840	45	03.01.1907	0355-2047
Oskar Hakalin	119890	58	03.01.1907	0355-2047
Lauri Malmen	120071	149	03.01.1907	0355-2047
H. Wfipctthcraillc	120076	152	03.01.1907	0355-2047
Mel lUmlm	120154	189	03.01.1907	0355-2047
Hilma Nantajett	120323	72	03.01.1907	0355-2047
Kaarle Holme	120331	76	03.01.1907	0355-2047
Emil Perttilä	120333	77	03.01.1907	0355-2047
Ingmar yfeoroiuS	120353	84	03.01.1907	0355-2047
Oskar SKoTemroift	120355	84	03.01.1907	0355-2047
A. Hörniiiéil	120355	84	03.01.1907	0355-2047
H. Tolilvcrg	120368	91	03.01.1907	0355-2047
W. Pettersson	120380	94	03.01.1907	0355-2047
Edith SKtjirum	120440	124	03.01.1907	0355-2047
Ellen Wikström	120441	125	03.01.1907	0355-2047
Tiuro Kemi	120511	29	03.01.1907	0355-2047
Mari Heiiell	120512	30	03.01.1907	0355-2047
Aimo Scfitcrlitnö	120512	30	03.01.1907	0355-2047
Santeri Ingman	120513	31	03.01.1907	0355-2047
Sofia Reijonen	120517	32	03.01.1907	0355-2047
Juho Hanninen	120539	44	03.01.1907	0355-2047
Tuomas Illi	120539	44	03.01.1907	0355-2047
Elias Kääriäinen	120539	44	03.01.1907	0355-2047
Tollo Huitiniu	120545	45	03.01.1907	0355-2047
Jlrntr Relander	120601	67	03.01.1907	0355-2047
Israel TLrnström	120604	69	03.01.1907	0355-2047
Israel Törnström	120604	69	03.01.1907	0355-2047
Eli Siiitifen	120623	76	03.01.1907	0355-2047
Torsten Söderhjelm	120671	100	03.01.1907	0355-2047
Torsten Söderhjelm	120688	109	03.01.1907	0355-2047
William Tiili	121044	112	03.01.1907	0355-2047
Victor Neiriiig	121065	116	03.01.1907	0355-2047
Victor von	121137	5	03.01.1907	0355-2047
Fanny Lotoifa Miettinen	121155	8	03.01.1907	0355-2047
W. Tirronen	121156	8	03.01.1907	0355-2047
Maria Sofia	121158	8	03.01.1907	0355-2047
Jenny Arola	121158	8	03.01.1907	0355-2047
Katarina Kura	121158	8	03.01.1907	0355-2047
Eugenia Ru	121158	8	03.01.1907	0355-2047
Ida Sipilä	121158	8	03.01.1907	0355-2047
Sofia Forsberg	121158	8	03.01.1907	0355-2047
Kari Petter Elenius	121159	8	03.01.1907	0355-2047
Maria Wauoiicn	121159	8	03.01.1907	0355-2047
Vittor Löfberg	121161	8	03.01.1907	0355-2047
|Wilhelmina SiniM||toifi|	121161	8	03.01.1907	0355-2047
Paaivo Hoitaa	121163	9	03.01.1907	0355-2047
Friedrich Piltz	121163	9	03.01.1907	0355-2047
Mathilda Lindfors	121164	9	03.01.1907	0355-2047
Amanda Rotta	121165	9	03.01.1907	0355-2047
Johanna Raitbcliu	121166	9	03.01.1907	0355-2047
Emilia Tillander	121169	9	03.01.1907	0355-2047
Sofia Vjörfman	121169	9	03.01.1907	0355-2047
Helena Komppa	121169	9	03.01.1907	0355-2047
Antti Ahlgren	121171	9	03.01.1907	0355-2047
John Peura	121172	9	03.01.1907	0355-2047
Mathilda Palinrotb	121174	10	03.01.1907	0355-2047
Signe SDJaria	121174	10	03.01.1907	0355-2047
Saima Titvrbxan	121176	10	03.01.1907	0355-2047
