Source	Target	Weigth
Aapo Nousiainen	Hanna Karhinen	10
Olga Österberg	Olga Oinola	10
Aaro Pellikka	Juho Kakkonen	10
Aliina Salomaa	Kyösti Huhtala	10
Aune Krohn	Immi Helenin	10
Gustaf Oskar Rantala	Viktor Saarinen	10
Eliel Saarinen	G. Nyströmin	10
Hilma Lehtonen	Katri Tepponen	10
Juho Nestor Nurmi	Richard Lindroosin	10
Tuomas Piispa	Wilho Aaltonen	10
Erkki Pulli	Taneli Nykänen	10
Erkki Pulli	Juho Rannikko	10
Juhani Aho	Wäinö Woionmaa	10
Henrik Filppula	Otto Sallinen	10
Henrik Filppula	Herman Asikainen	10
Henrik Filppula	Jooseppi Rajala	10
Emil Perttilä	Wäinö Voionmaa	10
August Teräs	Joel Manninen	10
Pekka Kauranen	Tuomas Ahola	10
Frans Oskar Nurmi	Johan Alfred Mäkipää	10
Frans Oskar Nurmi	Johan Arthur Taimi	10
Frans Oskar Nurmi	Kustaa Emil Aaltonen	10
Frans Oskar Nurmi	Richard Lindroosin	10
Frans Oskar Nurmi	Oskar Antikainen	10
I. Laurila	Olga Österberg	10
Antti Nisulan	Juho Nykänen	10
Antti Nisulan	Einar Kalmin	10
Hilda Käkikoski	Onni Hallsten	10
Hilda Käkikoski	O. Auer	10
Elias Kiuru	Matti Seppä	10
Isak Lehtinen	Johan Arthur Taimi	10
Juho Saukkonen	Matti Pajari	10
Otto Tamminen	Tobias VööS	10
Edvin Vikberg	Karoliina Zacheus	10
Eino Leino	Jussi Korhonen	10
Eino Leino	Volter Kilpi	10
Albin Korhonen	Otto Kiiskinen	10
Wilho Aaltonen	Wäinö Heikki Hakkarainen	10
Aleksi Käpy	Lauri Ingman	10
Heino Aulanko	Hilma Räsänen	10
Heino Aulanko	Wiljo Hytönen	10
Kyösti Kallio	Mikko Knuutila	10
Kyösti Kallio	Pekka Leppänen	10
Otto Lampinen	Sameli Nikolai Marttila	10
H. Mäkinen	Tahvo Puntti	10
H. Mäkinen	Mikko Punttila	10
H. Mäkinen	Tilda Sigvard	10
Emil Nerwander	Juhani Aho	10
Alarik Emil Sikanen	Anders Johan Forsman	10
Alarik Emil Sikanen	Gustaf Oskar Rantala	10
Alarik Emil Sikanen	Kaarle Helin	10
Alarik Emil Sikanen	Edward Pohjatähti	10
Alarik Emil Sikanen	Armas Nikolai Soini	10
Antti Kallio	Kalle Hämäläinen	10
Kaapo Murros	Leo Tolstoi	10
Kustaa Metsola	Olli Pajari	10
A Nordberg	Ulla Ropponen	10
A Nordberg	Tiihonen Puijonkatu	10
Juho Hietasaari	Kaarlo Harju	10
H. Aulanko	Maiju Seppälä	10
Almar Fabritius	Julius Peltonen	10
ANJA TUULONEN	Wäinö Kataja	10
Olli Pajari	Taneli Nykänen	10
Hilda Viinamäki	Hilja Peltola	10
Juhani Sjöström	Timo Korpimaa	10
Aatto Sirenin	Yrjö Sirola	10
Aatto Sirenin	Eemil Elo	10
Heikki Albert Niskanen	Viktor Saarinen	10
Jooseppi Rajala	Tuomas Piispa	10
Jooseppi Rajala	Oskar Antikainen	10
Aleksandra Simola	Ellinor Ingman	10
Heikki Lindroosin	Juho Torppa	10
Aura Kiiskinen	Ida Oksanen	10
Arthur Lagerlöf	Lauri Keränen	10
Eero Järnefelt	Wäinö Blomstedt	10
Elsa Lindström	Olga Oinola	10
Eero Erkko	H. Lindroosin	10
Eero Erkko	Heikki Lindroosin	10
Eero Erkko	Wäinö Woionmaa	10
Eero Erkko	Valfrid Vasenius	10
Ilmari Calamnius- Kianto	Miina Sillanpää	10
Ilmari Calamnius- Kianto	Kaarlo Terhi	10
Birger Fagerström	Uno Saxen	10
Matti Ahola	Viktor Ahlberg	10
Maria Raunio	Matti Rossi	10
Paul Söderholm	Paul Sola	10
Lauri Lettomäki	Matti Autio	10
Lauri Lettomäki	Yrjö Sirola	10
Lauri Lettomäki	Mikko Uotinen	10
ANTTI MIKKOLA	Heikki Renwall	10
Aleksandra Grönfors	Perttu Lindberg	10
Elsa Kannisto	Emmy Laine	10
Juho Torppa	Juho Ylikorpi	10
Juho Torppa	Pekka Leppänen	10
Juho Torppa	Tuomas Pohjapalo	10
Matti Mikkonen	Nestor Rautell	10
Samuli Pirttiaho	Tuomas Ahola	10
Juho Lepistö	Pekka Huttunen	10
Henrik Filppulan	Hjalmar Nieminen	10
Henrik Filppulan	Kalle Kantola	10
Henrik Filppulan	Johan Urho Rantala	10
Henrik Filppulan	Isak Lehtinen	10
Armas Raitio	Olli Pajari	10
Kalle Patomäki	Wäinö Salminen	10
O. Auer	Wiljo Hytönen	10
Kusti Lauren	Olga Alha	10
Eero Alpi	Kaarle Halme	10
G. Försten	Minna Canth	10
Aarni Kouta	ARVID JÄRNEFELT	10
Jonas Castren	Jonas Castrenin	10
Kustaa Emil Aaltonen	Kustaa Wilhelm Palmu	10
Kustaa Emil Aaltonen	Viktor Saarinen	10
Kustaa Emil Aaltonen	Tuomas Piispa Ursin	10
Kalle Hämäläinen	Otto Piisi	10
Kalle Hämäläinen	Miina Sillanpää	10
Olga von	Verner Humble	10
Ida AAlle	Ida Oksanen	10
Albert Edelfelt	Ilona Jalava	10
Georg Jensen	Mary von Haartman	10
Kaarle Krohn	Väinö Voionmaa	10
Kaarle Krohn	Wäinö Voionmaa	10
Samuli Koski	Vilho Selinheimo	10
Juho Snellman	Oskari Laine	10
Mikael Soininen	Mikko Knuutila	10
Hanna Saikku	Jalmari Häkkinen	10
Artur Hammarström	Bruno Juselius	10
Antti Jokinen	August Voutilainen	10
Antti Jokinen	Henrik Filppulan	10
Antti Jokinen	Isak Kalliomäki	10
Karl Marx	Yrjö Mäkelin	10
Aaro Salo	Matti Pesonen	10
Aaro Salo	Samuel Heiskanen	10
Aaro Salo	Alli Nissinen	10
Kaarlo Koskimies	Victor Rydberg	10
August Voutilainen	Herman Asikainen	10
August Voutilainen	Juho Myntti	10
August Voutilainen	Juho Oskar Jokinen	10
Eino Björn	Emil Manninen	10
A. Kannisto	Pekka Huttunen	10
Emil Artur Bergström	Frans Oskar Nurmi	10
Emil Artur Bergström	Johan Alfred Mäkipää	10
Emil Artur Bergström	Kustaa Wilhelm Palmu	10
Emil Artur Bergström	Johan Urho Rantala	10
Emil Artur Bergström	Jooseppi Rajala	10
Olga Alha	Oskari Siren	10
Amalia Grönberg	Lauri Hendell	10
Amalia Grönberg	Axel Törnudd	10
Arthur Ferdinand Ikäheimonen	Kustaa Emil Aaltonen	10
Arthur Ferdinand Ikäheimonen	Johan Arthur Taimi	10
Arthur Ferdinand Ikäheimonen	Juho Oskar Jokinen	10
Arthur Ferdinand Ikäheimonen	Richard Lindroosin	10
Arthur Ferdinand Ikäheimonen	Johan Urho Rantala	10
Juho Rissanen	Matti Paasivuori	10
Gerda Lind	Maikki Järnefelt	10
Inga Heine	Leo Tolstoi	10
H. Paasonen	Wäinö Woionmaa	10
Anna Kaitila	Urho Haa-	10
Juho Kustaa Rantanen	Tuomas Piispa	10
Paul Sola	Thore Asp	10
Emil Aho	Jenny Niemelä	10
Kalle Jäntti	Vihtori Eloranta	10
Eino Raitio	Toivo Kuula	10
Elias Brenner	Nils Idmanin	10
Vihtori Leino	W. Peltonen	10
Pietari Kontiainen	Tuomas Raunio	10
Maria Lalhlo	Sandra Koskinen	10
Hanna Kurtti	Martta Kerttula	10
Arndt Auwisen	Hjalmar Nieminen	10
Arndt Auwisen	Juho Kustaa Rantanen	10
Arndt Auwisen	Herman Asikainen	10
Joonas Laitinen	Juho Tulikoura	10
Miina Sillanpää	Yrjö Sirola	10
Valde Hirvikanta	Valde von	10
