Source	Target	Weigth
Matti Seppälä	Santeri Ingman	2
Matti Seppälä	Wäinö Voionmaa	2
Matti Seppälä	Väinö Voionmaa	2
Matti Seppälä	Tekla Hultin	2
Matti Seppälä	Tyyne Vuorijuuri	2
Matti Seppälä	Sulo Wuolijoki	2
Matti Seppälä	Yrjö Jahnsson	2
Matti Seppälä	Rafael Erich	2
Matti Seppälä	Otto Stenroth	2
Matti Seppälä	Onni Talas	2
Matti Seppälä	Miina Sillanpää	2
Henrit Werner	Otto Tuominen	2
Hilma Lundman	Miina Sillanpää	2
Hilma Lundman	Ida Oksanen	2
Hilma Lundman	Miina Lindberg	2
Hilma Lundman	Ida Aalle	2
Hilma Lundman	Tilda Örnberg	2
Olga Ström	Wilho Lindroos	2
Johan Urho Rantala	Tuomas Piispa Ursin	2
Johan Urho Rantala	Kustaa Emil Aaltonen	2
Johan Urho Rantala	Wilho Aaltonen	2
Johan Urho Rantala	Wilhelm Jaakkola	2
Johan Urho Rantala	Kustaa Wilhelm Palmu	2
Johan Urho Rantala	Juho Oskar Jokinen	2
Johan Urho Rantala	Niklas Wirtasen	2
Johan Urho Rantala	Matti Veijalainen	2
Johan Urho Rantala	Jooseppi Rajala	2
Johan Urho Rantala	Wäinö Sigfrid Forsströmin	2
Johan Urho Rantala	Juho Anders Ahlgrenin	2
Johan Urho Rantala	Kaarle Kustaa Grönbergin	2
Johan Urho Rantala	Otto Sallinen	2
Johan Urho Rantala	Kalle Kantola	2
Johan Urho Rantala	Juho Myntti	2
Johan Urho Rantala	Kaarlo Niininen	2
Johan Urho Rantala	Karl Saaristo	2
Johan Urho Rantala	Wäinö Heikki Hakkarainen	2
Johan Urho Rantala	Juho Nestor Nurmi	2
Johan Urho Rantala	Juho Taawi Tuoda	2
Johan Urho Rantala	Richard Lindroosin	2
Johan Urho Rantala	Kalle Jäntti	2
Johan Urho Rantala	Juho Kustaa Rantanen	2
Leo Ehrnrooth	Santeri Ingman	2
Leo Ehrnrooth	Tekla Hultin	2
Leo Ehrnrooth	Rafael Erich	2
Leo Ehrnrooth	Otto Stenroth	2
Leo Ehrnrooth	Onni Talas	2
Leo Ehrnrooth	Matti Seppälä	2
Leo Ehrnrooth	Yrjö Jahnsson	2
Fritz Ernst	Ida Argelander	2
Johan Arthur Taimi	Johan Nurminen	2
Johan Arthur Taimi	Kustaa Emil Aaltonen	2
Johan Arthur Taimi	Wilho Aaltonen	2
Johan Arthur Taimi	Kustaa Wilhelm Palmu	2
