Source	Target	Weigth
Esther Malmström	Jenny Nyberg	2
Esther Malmström	Ingrid Holmberg	2
Wilhelm Jaakkola	Wilho Aaltonen	2
Juho Rannikko	Juho Torppa	2
Juho Rannikko	Wilho Sipilä	2
Juho Rannikko	Oskari Laine	2
Juho Rannikko	Taneli Nykänen	2
Kaarlo Bergbomin	Robert Kajanuksen	2
Ester Sofia Andersin	Juho Kustaa Wirtanen	2
Ester Sofia Andersin	Wilhelmina Santala	2
Matti Veijalainen	Wilho Aaltonen	2
Matti Veijalainen	Vihtori Eloranta	2
Matti Veijalainen	Wilhelm Jaakkola	2
Hilda Pihlajamäki	Olga Salo	2
Juho Nestor Nurmi	Vihtori Eloranta	2
Juho Nestor Nurmi	Wilhelm Jaakkola	2
Juho Nestor Nurmi	Kustaa Emil Aaltonen	2
Juho Nestor Nurmi	Kalle Jäntti	2
Juho Nestor Nurmi	Matti Veijalainen	2
George Sand	Walter Scott	2
George Sand	Selma Lagerlöf	2
Vihtori Eloranta	Wilho Aaltonen	2
Vihtori Eloranta	Wilhelm Jaakkola	2
Ida Ekman	Irene Renvall	2
Anton Edvard Lehtonen	Petter Räisänen	2
Hilda Käkikoski	Onni Hallsten	2
Hilda Käkikoski	Oskari Laine	2
Taneli Nykänen	Wilho Sipilä	2
Augusta Soininen	August Pesonen	2
Augusta Soininen	Edla Johanna Katainen	2
Kaarlo Heini	Taneli Nykänen	2
Aina Niska	Selim Palmgren	2
Emil Misander	Wilhelmina Korhonen	2
Emil Misander	Johan Wilhelm Dahl	2
Augusta Korhonen	Johan Emerik Söderholm	2
Augusta Korhonen	Viktoria Ljungqvist	2
Augusta Korhonen	Herman Michelsson	2
Augusta Korhonen	Johan Gustaf Wikström	2
Kustaa Emil Aaltonen	Wäinö Heikki Hakkarainen	2
Kustaa Emil Aaltonen	Oskar Kingelinin	2
Kustaa Emil Aaltonen	Wilho Aaltonen	2
Kustaa Emil Aaltonen	Richard Lindroosin	2
Kustaa Emil Aaltonen	Viktor Saarinen	2
Ines Alice Lindholm	Jalo Erland Anttila	2
Juho Lepistö	Kaarlo Heini	2
Juho Lepistö	Oskari Laine	2
Mikko Sipponen	Olli Pajari	2
Isak Lehtinen	Wäinö Heikki Hakkarainen	2
Isak Lehtinen	Viktor Saarinen	2
Isak Lehtinen	Juho Myntti	2
Isak Lehtinen	Oskar Kingelinin	2
Isak Lehtinen	Richard Lindroosin	2
Isak Lehtinen	Johan Kauppinen	2
Isak Lehtinen	Kalle Jäntti	2
Isak Lehtinen	Johan Alfred Mäkipää	2
Isak Lehtinen	Johan Arthur Taimi	2
Isak Lehtinen	Juho Kustaa Rantanen	2
Isak Lehtinen	Johannes Kaipainen	2
August Ramsay	Lennart Cajander	2
Henrit Filppula	Vihtori Eloranta	2
Henrit Filppula	Juho AnderS Ahlgren	2
Arthur Ferdinand Ikäheimonen	Wäinö Heikki Hakkarainen	2
Arthur Ferdinand Ikäheimonen	Emil Artur Bergström	2
Arthur Ferdinand Ikäheimonen	Oskar Kingelinin	2
Arthur Ferdinand Ikäheimonen	Isak Lehtinen	2
Arthur Ferdinand Ikäheimonen	Richard Lindroosin	2
Arthur Ferdinand Ikäheimonen	Emanuel Nurmi	2
Arthur Ferdinand Ikäheimonen	Frans Heikki Forssellin	2
Arthur Ferdinand Ikäheimonen	Kaarle Helin	2
Arthur Ferdinand Ikäheimonen	Kaarlo Niininen	2
Arthur Ferdinand Ikäheimonen	Kalle Jäntti	2
Arthur Ferdinand Ikäheimonen	Jaakko Kallio	2
Arthur Ferdinand Ikäheimonen	Johan Alfred Mäkipää	2
Arthur Ferdinand Ikäheimonen	Johan Arthur Taimi	2
Arthur Ferdinand Ikäheimonen	Otto Sallinen	2
Arthur Ferdinand Ikäheimonen	Kalle Kantola	2
