Source	Target	Weigth
Elias Erkko	Henrik Ibsen	3
A. Castren	Viktor Rydberg	3
Heikki Meriläinen	Minna Canth	3
Aleksis Kivi	Juhani Aho	3
Arvid Genetz	Julius Krohn	3
Arvid Genetz	Elias Lönnrot	3
Arvid Genetz	Emil Hagelberg	3
Arvid Genetz	Mikael Johnsson	3
Esaias Tegner	Henrik Ibsen	3
August Strindberg	Kustavi Mauri Armfelt	3
Juhani Aho	Lilli Lilius	3
Juhani Aho	Yrjö Koskinen	3
Juhani Aho	Karl A. Tavaststjerna	3
Juhani Aho	Kustavi Mauri Armfelt	3
Kustavi Grotenfelt	Yrjö Koskinen	3
G. Schybergson	Minna Canth	3
Juho Reijonen	Matti Kurikka	3
Juho Reijonen	Valfrid Vasenius	3
Emanuel Geibel	Juhani Aho	3
Emanuel Geibel	Minna Canth	3
Emanuel Geibel	Kustavi Mauri Armfelt	3
Fritz Reuter	Juhani Aho	3
Kustavi Mauri Armfelt	Minna Canth	3
Kustavi Mauri Armfelt	Yrjö Koskinen	3
Kustavi Mauri Armfelt	Valfrid Vasenius	3
Eliel Aspelin	G. Schybergson	3
Eliel Aspelin	Juhani Aho	3
Eliel Aspelin	Kustavi Mauri Armfelt	3
Anna Maria	Minna Canth	3
Anna Maria	Lucina Hagman	3
Le Duc	Leo Tolstoi	3
Fredrik Cygnaeus	Yrjö Koskinen	3
Jaakko Forsman	Yrjö Koskinen	3
Kustaa Vaasa	Kustavi Mauri Armfelt	3
Leo Tolstoi	Louis Léouzon	3
Katri Ikäheimo	Minna Canth	3
Minna Canth	Werner Söder	3
Eero Sissala	Minna Canth	3
Kreeta Haapasalko	Lilli Lilius	3
August Ahlqvist	Lilli Lilius	3
August Ahlqvist	Yrjö Koskinen	3
Hannes Gebhard	Le Duc	3
Hannes Gebhard	Pekka Sallinen	3
Matti Kurikka	Minna Canth	3
Elias Lönnrot	Gabriel Rein	3
Arvi Jännes	Eliel Aspelin	3
Lucina Hagman	Minna Canth	3
Kustavi Saarni	Pekka Sallinen	4
Heikki Meriläinen	Verner Söderström	4
Juhani Aho	Kaarlo Forsman	4
Henrik Ibsen	Kaarlo Forsman	4
Kustavi Grotenfelt	Minna Canth	4
Kustavi Mauri Armfelt	Maurits Sjö	4
Eliel Aspelin	Minna Canth	4
Eliel Aspelin	Johannes Takanen	4
Viktor Rydberg	Yrjö Koskinen	4
Le Duc	Louis Léouzon	4
Fredrik Cygnaeus	Gabriel Rein	4
Hermann Paul	Kaarlo Forsman	4
Minna Canth	Verner Söderström	4
Yrjö Koskinen	Yrjö Maunu	4
Elias Lönnrot	Fredrik Cygnaeus	4
Elias Lönnrot	Yrjö Koskinen	4
Arvi Jännes	Hermann Paul	4
Arvi Jännes	Juhani Aho	4
Arvi Jännes	Kaarlo Forsman	4
Henrik Ibsen	Nikolai Gogol	5
Anders Fryxeli	Viktor Rydberg	5
Eliel Aspelin	Jaakko Forsman	5
Eliel Aspelin	Yrjö Koskinen	5
Minna Canth	Valfrid Vasenius	5
Arvid Genetz	Eliel Aspelin	6
Arvid Genetz	Minna Canth	6
Juhani Aho	Juho Reijonen	6
Juhani Aho	Matti Kurikka	6
Yrjö Koskinen	Yrjö Maunu Sprengtporten	6
Juhani Aho	Valfrid Vasenius	7
Arvid Genetz	Hannes Gebhard	8
Eliel Aspelin	Kaarlo Forsman	8
Hannes Gebhard	Minna Canth	16
Juhani Aho	Minna Canth	17
Arvid Genetz	Yrjö Koskinen	27
