Source	tags	party	district
Hugo Rautapää	Työmies		
Fritz Geitlin	Uusi Suometar		
SAKARI CASTREN	Helsingin Sanomat		
Kustaa Wilhelm Palmu	Työmies		
Artur Krook	Helsingin Sanomat		
Hugo Karsten	Helsingin Sanomat		
Teodor Homen	Uusi Suometar		
A. Lindfors	Helsingin Sanomat		
T:ri E.	Helsingin Sanomat		
Leo Funtekln	Työmies		
Hemmo Kallio	Uusi Suometar;Helsingin Sanomat;Työmies		
Werner Palmroth	Helsingin Sanomat		
Eugen Wolff	Uusi Suometar		
Hilda Pihlajamäki	Uusi Suometar		
Justus Ripatti	Uusi Suometar;Helsingin Sanomat	Suom.	Mikkelin läänin
Väinö Tanner	Työmies	SDP	Turun läänin pohjoinen
Heikki Renvall	Työmies		
A. Laine	Työmies		
Enrico Ferri	Työmies		
Viktoria Ljungqvist	Uusi Suometar		
Sigurd Rosenberg	Helsingin Sanomat		
Vihtori Peltonen	Uusi Suometar		
Wäinö Hupli	Työmies		
Johan Urho Rantala	Työmies		
Georg Jensen	Uusi Suometar;Helsingin Sanomat		
Kaarlo Heini	Uusi Suometar		
Wilhelmina Santala	Uusi Suometar		
Eino Rautawaara	Helsingin Sanomat;Työmies		
Stella Dina	Helsingin Sanomat		
Emil Heino	Työmies		
Niilo Helander	Uusi Suometar;Helsingin Sanomat		
Aino Liipola	Helsingin Sanomat		
Helmi Lindelöf	Uusi Suometar		
Laine I.	Työmies		
Anna Söderholm	Uusi Suometar		
Ida Haapala	Työmies		
Matti Paasivuori	Työmies	SDP	Viipurin läänin läntinen
Emil Anshelm Mäkelä	Työmies		
Otto Weckuian	Uusi Suometar		
Otto Weckman	Uusi Suometar		
Bertha von	Uusi Suometar		
Sakeus Juuri-Oja	Työmies		
Ingrid Andersson	Helsingin Sanomat		
Dagmar Henriksson	Uusi Suometar		
Atle Wilskman	Helsingin Sanomat		
Katri Räisänen	Työmies		
Maria Söderlund	Työmies		
Wilhelm Rotta	Helsingin Sanomat		
Hilja Liinamaa	Työmies		
Santeri Ingman	Uusi Suometar;Helsingin Sanomat;Työmies		
Sulo Wuolijoki	Työmies	SDP	Hämeen läänin eteläinen
Amanda Tuominen	Työmies		
Anni Huotari	Uusi Suometar;Työmies	SDP	Kuopion läänin läntinen
Toimitus Sirkuskatu	Työmies		
Emil Erikson	Helsingin Sanomat		
Hämeenlinna Jah	Uusi Suometar		
Erkki Pulli	Uusi Suometar		
THEODOR STORM	Uusi Suometar;Helsingin Sanomat		
Matti Rinta	Uusi Suometar		
Lucina Hagman	Uusi Suometar;Helsingin Sanomat	Nuor.	Hämeen läänin eteläinen
Jenny Nuotio	Uusi Suometar		
Juho Laakso	Uusi Suometar;Työmies	SDP	Uudenmaan läänin
Tyyne Halme	Työmies		
Irjö Sirola	Työmies		
Hilma Lundman	Työmies		
Vivi Ruotsalainen	Helsingin Sanomat		
HELGE HARTHAN	Helsingin Sanomat		
Olio Hyyry	Uusi Suometar		
Mikko Knuutila	Helsingin Sanomat	Nuor.	Oulun läänin eteläinen
Signe Berg	Helsingin Sanomat		
Evert Suonio	Helsingin Sanomat		
Petter Ahlgren	Uusi Suometar		
Robert Kajanus	Helsingin Sanomat		
Rafael Karsten	Helsingin Sanomat		
Oskari Laine	Uusi Suometar	Suom.	Uudenmaan läänin
Vihtori Eloranta	Uusi Suometar		
Atte Mantere	Helsingin Sanomat	SDP	Oulun läänin pohjoinen
Anders Donner	Helsingin Sanomat		
Mauri Hellsten	Työmies		
Marta Moretti	Helsingin Sanomat		
Erik Leander	Helsingin Sanomat		
Johan Gustaf Wikström	Uusi Suometar		
Viktor Ekroos	Helsingin Sanomat		
Otto Noro	Työmies		
Erik Byman	Uusi Suometar;Helsingin Sanomat		
Mauri Hartea	Helsingin Sanomat		
Leo Tolstoi	Uusi Suometar;Helsingin Sanomat;Työmies		
Oskar Haka	Helsingin Sanomat		
Johanna Charlotta Oja	Uusi Suometar		
Juho And	Työmies		
Eino Leino	Uusi Suometar;Helsingin Sanomat;Työmies		
Ossian FohströrrTin	Työmies		
Tyyne Vuorijuuri	Työmies		
Gustava Vilhelmina	Helsingin Sanomat;Työmies		
John Grenman	Helsingin Sanomat		
A. Lunden	Helsingin Sanomat		
Ada Negri	Työmies		
Hilma Räsänen	Uusi Suometar;Helsingin Sanomat	SML	Viipurin läänin itäinen
Valter Juva	Uusi Suometar		
Kustaa Emil Aaltonen	Uusi Suometar;Työmies		
Edward Pohjatähti	Työmies		
Juho Riipinen	Työmies		
Kaarle Helin	Uusi Suometar		
Ernst Nordström	Helsingin Sanomat		
Aksel Alanen	Työmies		
Inga Heine	Helsingin Sanomat		
Voitto Eloranta	Työmies	SDP	Hämeen läänin eteläinen
Simo Kaario	Uusi Suometar;Helsingin Sanomat;Työmies		
Vilho Selinhelmo	Työmies		
Anna Talma	Työmies		
Vilhelmina Lampénille	Työmies		
Onni Hallsten	Uusi Suometar;Työmies		
Johanna Constance Nemlanderille	Työmies		
Emil Orädd	Helsingin Sanomat		
Juho Lepistö	Uusi Suometar;Helsingin Sanomat	Suom.	Mikkelin läänin
Alexandra Ahnger	Uusi Suometar		
Ester Lindholm	Helsingin Sanomat		
Oskari Mantere	Helsingin Sanomat		
Vilho Selin	Uusi Suometar		
Edouard Celli	Helsingin Sanomat		
Irene Johansson	Työmies		
Heinrich Heine	Työmies		
A. Ahtio	Työmies		
Edward Valpas	Työmies	SDP	Uudenmaan läänin
Olga Tuhkanen	Työmies		
I. Tyyskä	Helsingin Sanomat		
Helena Makkonen	Työmies		
Johan Kauppinen	Uusi Suometar;Työmies		
Juho Tulikoura	Uusi Suometar	Suom.	Viipurin läänin läntinen
Hilda Flodin	Helsingin Sanomat		
Aksel Castren	Helsingin Sanomat		
A. Luoma	Helsingin Sanomat		
J. Relander	Helsingin Sanomat		
Olga Salo	Uusi Suometar		
Arne Lund	Helsingin Sanomat		
Alexis Gripenberg	Helsingin Sanomat		
Johan Oskari Jokinen	Työmies		
Elsa Kannisto	Työmies		
Richard Calwer	Työmies		
Juho Anders Ahlgrenin	Työmies		
August Lindholm	Työmies		
Johan Viktor Alanko	Uusi Suometar		
A Kj	Uusi Suometar		
Viktor Ahlbercin	Helsingin Sanomat		
Fredrika Karttunen	Uusi Suometar		
Hilma Liima	Helsingin Sanomat;Työmies		
Björnstjerne Björnsonin	Helsingin Sanomat		
Hilma Myöhänen	Työmies		
Helge Hartman	Helsingin Sanomat		
Helmi Tähtinen	Uusi Suometar		
EINO VOIONMAA	Uusi Suometar		
Viktor Saarinen	Uusi Suometar;Työmies		
Ida Kosonen	Työmies		
Juho Taawi Tuoda	Työmies		
Heinrich von	Helsingin Sanomat		
Hilda Tammelo	Työmies		
Heikki Rcnwall	Uusi Suometar		
Eva Lessmann	Helsingin Sanomat		
Arnold Napoleon Eklund	Helsingin Sanomat;Työmies		
August Raatikainen	Helsingin Sanomat	SML	Kuopion läänin läntinen
Emanuel Nurmi	Uusi Suometar;Työmies		
Karolina Eskelln	Helsingin Sanomat		
Otto Sallinen	Uusi Suometar;Työmies		
Hilma Maria	Työmies		
